id_aluno,id_resposta,id_questao,ids_abilidade,acerto_resposta,tempo_resposta,curso_ano
d528a8bc-2bc0-4b8f-a760-0d79c1f3c091,f3156c1f-2fe5-4e93-bb04-3196eea4a726,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[],0.0,0,Matemática - 7° ano
1ab4ab72-334e-4259-ace9-0ca6fb045f12,38a69eee-d685-4dbd-9c6d-30fbd10d5415,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],1.0,3.0,Matemática - 7° ano
1ab4ab72-334e-4259-ace9-0ca6fb045f12,a12f7f97-aea1-4fad-b1a9-3a930cffe0c2,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],1.0,20.0,Matemática - 7° ano
90072560-d1df-47c8-bbe6-1b5a52a804d6,648a6bf0-463a-4a9d-8f86-2061f7309af2,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],1.0,20.0,Matemática - 7° ano
9f32c690-c260-4d78-aea4-d176c4a07f92,4107d7f6-84d2-466e-93aa-4a58be9e507b,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],1.0,13.0,Matemática - 7° ano
ff9c5544-bae9-4a3f-ba95-cec7d1342194,782f1deb-4fac-4243-afdf-2058c281fea4,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],1.0,258.0,Matemática - 7° ano
26033768-29d1-4707-be1c-8e108e700589,c1b6ccbc-7035-4d1c-816d-24a0b7dd7791,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],0.0,15.0,Matemática - 7° ano
0396d03b-32a6-46f1-8d58-4fb22c640755,b666cb26-c58e-406d-ba76-3f5ca8706cff,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],1.0,15.0,Matemática - 7° ano
9859708d-4d69-478f-a063-eec26be72067,dfd6fa25-7754-4c6a-9300-777d6ea8ca6c,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],1.0,34.0,Matemática - 7° ano
7a0c03b8-fa54-404c-9873-349b694f7c03,c0a6fcbe-5a8a-4da1-a61a-e0fe87066ba4,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],1.0,74.0,Matemática - 7° ano
2a829474-4549-42aa-9815-bc94dc4bca1a,f7c682c9-9b5d-4eb0-bdbb-cc54e3d8ef9e,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],1.0,81.0,Matemática - 7° ano
40652b2c-ac72-489c-9e32-55070da0828e,9504c0e9-5778-485c-bbee-2ec214deff44,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],0.0,101.0,Matemática - 7° ano
e725c44d-3cda-4e98-8a1b-eb142e944d96,08328bbf-c6b8-41c1-b89c-9af28413d10f,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],1.0,31.0,Matemática - 7° ano
7ef9a315-dddc-4e09-9b48-211864d34b80,d65d9578-3a46-43e6-bbb9-95f82258a404,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],0.0,28.0,Matemática - 7° ano
94053f2e-b39f-485f-8016-d5959ec4666e,63ef329a-ba29-4160-863b-80683fe8018c,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],0.0,31.0,Matemática - 7° ano
1b2682cf-298c-4743-aaba-9b0a2c594139,08c8e0db-fd6c-4674-ba1d-006d9c8a4d2b,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],0.0,67.0,Matemática - 7° ano
241f04a2-dbbb-497d-a52c-1846713d4c08,9e5f02da-5923-400d-b43c-19ead5154953,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],1.0,19.0,Matemática - 7° ano
efb956f2-7a9e-4970-a780-25376b194bdb,cb16b773-c25b-4dcc-a95d-7262a94060b5,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],1.0,18.0,Matemática - 7° ano
6d6f4c98-8aed-4793-8958-33c00a402eb8,88389fa3-0719-4eba-8558-faf96169574e,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],1.0,312.0,Matemática - 7° ano
5a8e92c1-94d8-4b0d-a1c8-b1a20667e370,42a516ec-3560-4356-96fb-cfbd6ae76f21,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],0.0,47,Matemática - 7° ano
2f796f27-8115-4fdc-923c-cee7cb44ba00,0c7322bb-fc8a-4268-9bb9-8fc758b09296,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],1.0,101.0,Matemática - 7° ano
2fb96ca6-8984-4f3d-b6c3-51966d217e19,deb12488-78e2-483f-9a46-67cba274e036,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],1.0,5.0,Matemática - 7° ano
f09b4f77-796c-437c-9b01-ff82c928f812,e9078185-173c-4d9d-8fa4-9dfb7cbb8252,9da0f7c9-d769-4de0-805b-c97c0607ce6e,[b38d1ee4-2d13-4072-bc8e-db24f1e84d15],1.0,117.0,Matemática - 7° ano
