id_topico,nome_topico,id_questao,habilidades_bncc,id_resposta,acerto_resposta,tempo_resposta,datahora_resposta
6aa9328b-4234-4b7d-90ad-ede4c819a621,Questões dos Usuários,b83321fd-4d7d-4000-b2bf-99daeff2cdc7,[EF05HI10],dbb4c428-e706-4506-aca8-3f76a5905c14,0.0,5.0,"""2022-12-16T11:08:43.767000000-03:00"""
6aa9328b-4234-4b7d-90ad-ede4c819a621,Questões dos Usuários,b83321fd-4d7d-4000-b2bf-99daeff2cdc7,[EF05HI10],ce893a0b-d81b-49f4-9328-10c3cca7f33a,1.0,21.0,"""2022-12-12T17:05:37.038000000-03:00"""
6aa9328b-4234-4b7d-90ad-ede4c819a621,Questões dos Usuários,b83321fd-4d7d-4000-b2bf-99daeff2cdc7,[EF05HI10],f606120c-3aa5-4db8-b062-726dfeb13ea4,1.0,43.0,"""2022-12-02T11:15:05.945000000-03:00"""
6aa9328b-4234-4b7d-90ad-ede4c819a621,Questões dos Usuários,b83321fd-4d7d-4000-b2bf-99daeff2cdc7,[EF05HI10],db335e3b-7d63-4bd5-b27a-b02d22835078,1.0,40.0,"""2022-11-25T10:46:15.488000000-03:00"""
6aa9328b-4234-4b7d-90ad-ede4c819a621,Questões dos Usuários,b83321fd-4d7d-4000-b2bf-99daeff2cdc7,[EF05HI10],3e26d008-839f-45f3-bcf1-eb0d47b6e1a8,1.0,106.0,"""2022-11-25T07:47:25.582000000-03:00"""
6aa9328b-4234-4b7d-90ad-ede4c819a621,Questões dos Usuários,b83321fd-4d7d-4000-b2bf-99daeff2cdc7,[EF05HI10],001a2461-0859-4a99-af25-f57c64a04d46,0.0,8.0,"""2022-11-22T09:59:14.737000000-03:00"""
6aa9328b-4234-4b7d-90ad-ede4c819a621,Questões dos Usuários,b83321fd-4d7d-4000-b2bf-99daeff2cdc7,[EF05HI10],3efcacbb-c93d-4433-9200-8a1166aa5a28,0.0,68.0,"""2022-11-22T09:43:23.005000000-03:00"""
6aa9328b-4234-4b7d-90ad-ede4c819a621,Questões dos Usuários,b83321fd-4d7d-4000-b2bf-99daeff2cdc7,[EF05HI10],e97ccb0c-51db-4374-97fe-a5ab74601532,1.0,161.0,"""2022-11-21T16:15:39.029000000-03:00"""
6aa9328b-4234-4b7d-90ad-ede4c819a621,Questões dos Usuários,b83321fd-4d7d-4000-b2bf-99daeff2cdc7,[EF05HI10],6cd76a44-8c7a-4aab-a3bd-7b33e4a4a586,0.0,39.0,"""2022-11-21T11:35:05.887000000-03:00"""
6aa9328b-4234-4b7d-90ad-ede4c819a621,Questões dos Usuários,b83321fd-4d7d-4000-b2bf-99daeff2cdc7,[EF05HI10],f89d906e-ba62-4cbd-af3e-52b45496cbaa,0.0,12.0,"""2022-11-20T17:58:16.448000000-03:00"""
