id_topico,nome_topico,id_questao,habilidades_bncc,id_resposta,acerto_resposta,tempo_resposta,datahora_resposta
e3abfc94-b1e1-40b8-bc68-b5d1b2b6a577,Verbo de ligação,41e82ae3-e4c2-4765-af5a-5a17d22ddd99,[EF09LP06],b3bef476-67e8-4b07-a168-c51087f60f27,0.0,50.0,"""2022-12-06T14:40:34.712000000-03:00"""
e3abfc94-b1e1-40b8-bc68-b5d1b2b6a577,Verbo de ligação,41e82ae3-e4c2-4765-af5a-5a17d22ddd99,[EF09LP06],9f824f64-67b9-4086-b4ef-73e7a15d66e4,1.0,163.0,"""2023-01-30T11:45:10.046000000-03:00"""
e3abfc94-b1e1-40b8-bc68-b5d1b2b6a577,Verbo de ligação,41e82ae3-e4c2-4765-af5a-5a17d22ddd99,[EF09LP06],c36d554b-69bf-4f3e-b7cf-b27a774f1950,1.0,28.0,"""2023-01-25T16:52:35.237000000-03:00"""
e3abfc94-b1e1-40b8-bc68-b5d1b2b6a577,Verbo de ligação,41e82ae3-e4c2-4765-af5a-5a17d22ddd99,[EF09LP06],e8d8ca33-d0b3-449a-9537-28dc1b001f2e,0.0,195.0,"""2023-01-25T16:43:43.544000000-03:00"""
e3abfc94-b1e1-40b8-bc68-b5d1b2b6a577,Verbo de ligação,41e82ae3-e4c2-4765-af5a-5a17d22ddd99,[EF09LP06],b2e534ea-2610-43d9-aca5-c10c952a3e23,1.0,10,"""2023-01-25T15:36:21.373000000-03:00"""
e3abfc94-b1e1-40b8-bc68-b5d1b2b6a577,Verbo de ligação,41e82ae3-e4c2-4765-af5a-5a17d22ddd99,[EF09LP06],0a062ca4-8caf-4b6e-a423-b67839fecf8f,0.0,69,"""2023-01-25T15:33:17.069000000-03:00"""
e3abfc94-b1e1-40b8-bc68-b5d1b2b6a577,Verbo de ligação,41e82ae3-e4c2-4765-af5a-5a17d22ddd99,[EF09LP06],6534786e-2a67-44dd-a804-b85226b8a131,1.0,92.0,"""2022-12-20T21:35:14.097000000-03:00"""
e3abfc94-b1e1-40b8-bc68-b5d1b2b6a577,Verbo de ligação,41e82ae3-e4c2-4765-af5a-5a17d22ddd99,[EF09LP06],5c28dee2-e6ea-4a5e-940c-d7ceee274799,0.0,72.0,"""2022-12-20T18:30:50.063000000-03:00"""
e3abfc94-b1e1-40b8-bc68-b5d1b2b6a577,Verbo de ligação,41e82ae3-e4c2-4765-af5a-5a17d22ddd99,[EF09LP06],c1978a51-359e-479e-a891-381069c5fd53,1.0,43.0,"""2022-10-22T17:57:54.889000000-03:00"""
e3abfc94-b1e1-40b8-bc68-b5d1b2b6a577,Verbo de ligação,41e82ae3-e4c2-4765-af5a-5a17d22ddd99,[EF09LP06],43d8dab5-c044-456e-bcb5-f6f46c5a9e82,0.0,11.0,"""2022-10-22T18:08:19.703000000-03:00"""
