id_topico,nome_topico,id_questao,habilidades_bncc,id_resposta,acerto_resposta,tempo_resposta,datahora_resposta
d06d2286-0fab-4d64-9f79-fe122d4ae10d,"Norte da África, Oriente Médio e Primavera Árabe",2ba88b1c-f948-4237-931b-642a0221b2ce,"[EF09HI32,EF09HI14,EF09HI31]",f9385688-e505-4737-ac79-bf582291146f,1.0,16.0,"""2022-12-12T14:22:09.215000000-03:00"""
d06d2286-0fab-4d64-9f79-fe122d4ae10d,"Norte da África, Oriente Médio e Primavera Árabe",2ba88b1c-f948-4237-931b-642a0221b2ce,"[EF09HI32,EF09HI14,EF09HI31]",3af813e5-ff38-458a-a52f-3ab48bb8ef1c,1.0,17.0,"""2022-09-02T16:35:25.556000000-02:00"""
d06d2286-0fab-4d64-9f79-fe122d4ae10d,"Norte da África, Oriente Médio e Primavera Árabe",2ba88b1c-f948-4237-931b-642a0221b2ce,"[EF09HI32,EF09HI14,EF09HI31]",335e2636-7f35-470e-a3b8-8f8e0fbb3d95,1.0,59.0,"""2022-08-04T19:38:10.995000000-03:00"""
d06d2286-0fab-4d64-9f79-fe122d4ae10d,"Norte da África, Oriente Médio e Primavera Árabe",264c3341-de82-419d-be24-bdd63c8df502,[EF09HI32],90225351-e012-497b-adf9-acf002ab27b3,0.0,8.0,"""2022-10-04T11:42:51.214000000-03:00"""
d06d2286-0fab-4d64-9f79-fe122d4ae10d,"Norte da África, Oriente Médio e Primavera Árabe",264c3341-de82-419d-be24-bdd63c8df502,[EF09HI32],3126eaf5-3fae-44df-be4e-a516759e476f,0.0,15.0,"""2022-09-22T14:34:45.407000000-03:00"""
d06d2286-0fab-4d64-9f79-fe122d4ae10d,"Norte da África, Oriente Médio e Primavera Árabe",264c3341-de82-419d-be24-bdd63c8df502,[EF09HI32],1eff1179-7e55-4b9e-9a0c-ffe1304e0a87,0.0,6.0,"""2022-09-14T12:17:47.097000000-03:00"""
d06d2286-0fab-4d64-9f79-fe122d4ae10d,"Norte da África, Oriente Médio e Primavera Árabe",264c3341-de82-419d-be24-bdd63c8df502,[EF09HI32],84683d87-4128-4486-adfa-bd1c2c8fa03b,1.0,85.0,"""2022-09-02T16:10:18.689000000-02:00"""
d06d2286-0fab-4d64-9f79-fe122d4ae10d,"Norte da África, Oriente Médio e Primavera Árabe",264c3341-de82-419d-be24-bdd63c8df502,[EF09HI32],98d5542a-1115-4d5a-b1f6-4bc5a67cad36,1.0,4.0,"""2022-08-25T16:38:42.595000000-03:00"""
d06d2286-0fab-4d64-9f79-fe122d4ae10d,"Norte da África, Oriente Médio e Primavera Árabe",264c3341-de82-419d-be24-bdd63c8df502,[EF09HI32],4896569d-eadd-490b-bb08-39ade3ac811d,0.0,16.0,"""2022-08-19T15:22:33.643000000-03:00"""
d06d2286-0fab-4d64-9f79-fe122d4ae10d,"Norte da África, Oriente Médio e Primavera Árabe",264c3341-de82-419d-be24-bdd63c8df502,[EF09HI32],75336710-3c28-4d45-a2ad-4ca6601dcfdf,0.0,19.0,"""2022-08-12T09:07:07.697000000-03:00"""
