id_topico,nome_topico,id_questao,habilidades_bncc,id_resposta,acerto_resposta,tempo_resposta,datahora_resposta
f0963590-94b9-402d-afa3-9033fc9aafa8,A mulher na Antiguidade e no Medievo,b4bd0df5-cef9-4cee-885e-12a1ed3399f9,[EF06HI19],62fa5d35-f72d-4705-8a47-426be095e2cb,0.0,26.0,"""2022-10-22T23:40:23.234000000-03:00"""
f0963590-94b9-402d-afa3-9033fc9aafa8,A mulher na Antiguidade e no Medievo,b4bd0df5-cef9-4cee-885e-12a1ed3399f9,[EF06HI19],ed4711e3-6815-4dfc-9649-4131d0174950,1.0,13.0,"""2022-10-21T22:28:42.951000000-03:00"""
f0963590-94b9-402d-afa3-9033fc9aafa8,A mulher na Antiguidade e no Medievo,b4bd0df5-cef9-4cee-885e-12a1ed3399f9,[EF06HI19],ce3d0d4e-707e-4045-bbc9-5716808cbf36,1.0,16.0,"""2022-10-21T22:17:16.998000000-03:00"""
f0963590-94b9-402d-afa3-9033fc9aafa8,A mulher na Antiguidade e no Medievo,b4bd0df5-cef9-4cee-885e-12a1ed3399f9,[EF06HI19],91b360ed-8ef9-4e79-83ff-95501a0b0c59,1.0,9.0,"""2022-10-21T22:07:06.575000000-03:00"""
f0963590-94b9-402d-afa3-9033fc9aafa8,A mulher na Antiguidade e no Medievo,b4bd0df5-cef9-4cee-885e-12a1ed3399f9,[EF06HI19],a6693602-b0bc-45e9-a20b-bbe8f8609c0e,0.0,39.0,"""2022-10-21T20:30:50.825000000-03:00"""
f0963590-94b9-402d-afa3-9033fc9aafa8,A mulher na Antiguidade e no Medievo,b4bd0df5-cef9-4cee-885e-12a1ed3399f9,[EF06HI19],6399df0e-2506-4847-b6ed-8c1b07b4ef6a,0.0,38.0,"""2022-10-21T17:27:38.721000000-03:00"""
f0963590-94b9-402d-afa3-9033fc9aafa8,A mulher na Antiguidade e no Medievo,b4bd0df5-cef9-4cee-885e-12a1ed3399f9,[EF06HI19],78ba2b06-d46e-4776-b360-f64fcd3e3f79,0.0,9.0,"""2022-10-21T16:19:21.480000000-03:00"""
f0963590-94b9-402d-afa3-9033fc9aafa8,A mulher na Antiguidade e no Medievo,b4bd0df5-cef9-4cee-885e-12a1ed3399f9,[EF06HI19],6e045503-1b6b-4dfd-b813-c4da04ba1489,0.0,26.0,"""2022-10-21T16:10:47.463000000-03:00"""
f0963590-94b9-402d-afa3-9033fc9aafa8,A mulher na Antiguidade e no Medievo,b4bd0df5-cef9-4cee-885e-12a1ed3399f9,[EF06HI19],1810371e-96a6-4e27-b14d-4f888b7133fb,0.0,17.0,"""2022-10-19T19:15:41.325000000-03:00"""
f0963590-94b9-402d-afa3-9033fc9aafa8,A mulher na Antiguidade e no Medievo,b4bd0df5-cef9-4cee-885e-12a1ed3399f9,[EF06HI19],9568826f-80ab-4caa-b2c8-c6c1c44ddb7e,0.0,26.0,"""2022-10-18T20:01:01.955000000-03:00"""
f0963590-94b9-402d-afa3-9033fc9aafa8,A mulher na Antiguidade e no Medievo,b4bd0df5-cef9-4cee-885e-12a1ed3399f9,[EF06HI19],0a865f47-5405-4310-bb45-454fe7bc36ac,0.0,19.0,"""2022-09-02T23:48:49.375000000-03:00"""
f0963590-94b9-402d-afa3-9033fc9aafa8,A mulher na Antiguidade e no Medievo,b4bd0df5-cef9-4cee-885e-12a1ed3399f9,[EF06HI19],9cda5238-222d-46f0-979a-224bb1be8664,0.0,43.0,"""2022-09-02T19:58:14.582000000-03:00"""
f0963590-94b9-402d-afa3-9033fc9aafa8,A mulher na Antiguidade e no Medievo,b4bd0df5-cef9-4cee-885e-12a1ed3399f9,[EF06HI19],6d08d467-7b35-4fd2-9f7d-8a176584cd53,1.0,56.0,"""2022-09-02T18:15:26.852000000-03:00"""
f0963590-94b9-402d-afa3-9033fc9aafa8,A mulher na Antiguidade e no Medievo,b4bd0df5-cef9-4cee-885e-12a1ed3399f9,[EF06HI19],1784b2d5-b92d-471c-9601-5190f9703b44,0.0,44.0,"""2022-09-01T20:04:49.866000000-03:00"""
f0963590-94b9-402d-afa3-9033fc9aafa8,A mulher na Antiguidade e no Medievo,61032e32-6372-44cb-b100-9b3dddb6b303,[EF06HI19],20610a6a-50b3-403f-bb33-81160c36e27c,1.0,3.0,"""2022-12-14T12:56:27.483000000-03:00"""
f0963590-94b9-402d-afa3-9033fc9aafa8,A mulher na Antiguidade e no Medievo,61032e32-6372-44cb-b100-9b3dddb6b303,[EF06HI19],09479b33-f4a6-4204-bbae-15e021f94139,0.0,89.0,"""2022-11-23T13:42:17.053000000-03:00"""
f0963590-94b9-402d-afa3-9033fc9aafa8,A mulher na Antiguidade e no Medievo,61032e32-6372-44cb-b100-9b3dddb6b303,[EF06HI19],17c2b38b-6274-42a7-b237-795855ea0443,1.0,38.0,"""2022-11-12T12:35:28.978000000-03:00"""
